CommonName,BirdSpeciesOrder
Great Blue Heron,Pelecaniformes
Yellow Warbler,Passeriformes
Unidentified Empidonax Flycatcher,Passeriformes
Northern Cardinal,Passeriformes
Common Grackle,Passeriformes
American Goldfinch,Passeriformes
American Robin,Passeriformes
Gray Catbird,Passeriformes
Red-winged Blackbird,Passeriformes
Northern Mockingbird,Passeriformes
Chimney Swift,Apodiformes
Song Sparrow,Passeriformes
Barn Swallow,Passeriformes
Warbling Vireo,Passeriformes
Unidentified Larus Gull,Charadriiformes
Tree Swallow,Passeriformes
Common Yellowthroat,Passeriformes
Blue-gray Gnatcatcher,Passeriformes
Eastern Towhee,Passeriformes
Brown-headed Cowbird,Passeriformes
Unidentified Swallow,Passeriformes
Caspian Tern,Charadriiformes
Cedar Waxwing,Passeriformes
Ring-billed Gull,Charadriiformes
Orchard Oriole,Passeriformes
Mallard,Anseriformes
Downy Woodpecker,Piciformes
Eastern Kingbird,Passeriformes
Herring Gull,Charadriiformes
European Starling,Passeriformes
Unidentified Bird,N/A
House Finch,Passeriformes
House Wren,Passeriformes
Turkey Vulture,Accipitriformes
Northern Flicker,Piciformes
Red-eyed Vireo,Passeriformes
Willow Flycatcher,Passeriformes
Baltimore Oriole,Passeriformes
Eastern Wood-Pewee,Passeriformes
Canada Goose,Anseriformes
Unidentified Blackbird,Passeriformes
Black-capped Chickadee,Passeriformes
Blue Jay,Passeriformes
Chipping Sparrow,Passeriformes
Mourning Dove,Columbiformes
American Redstart,Passeriformes
Eastern Phoebe,Passeriformes
Northern Rough-winged Swallow,Passeriformes
Bank Swallow,Passeriformes
Great Crested Flycatcher,Passeriformes
Spotted Sandpiper,Charadriiformes
Purple Martin,Passeriformes
White-breasted Nuthatch,Passeriformes
Indigo Bunting,Passeriformes
Double-crested Cormorant,Suliformes
Belted Kingfisher,Coraciiformes
Unidentified Hawk,Accipitriformes
Ruby-throated Hummingbird,Apodiformes
Brown Thrasher,Passeriformes
House Sparrow,Passeriformes
Yellow-billed Cuckoo,Cuculiformes
Red-bellied Woodpecker,Piciformes
Unidentified Flycatcher,Passeriformes
Field Sparrow,Passeriformes
Red-tailed Hawk,Accipitriformes
Unidentified Sparrow,Passeriformes
Osprey,Accipitriformes
Black-and-white Warbler,Passeriformes
Philadelphia Vireo,Passeriformes
Killdeer,Charadriiformes
Hooded Warbler,Passeriformes
Mourning Warbler,Passeriformes
Magnolia Warbler,Passeriformes
Wilson's Warbler,Passeriformes
Blackburnian Warbler,Passeriformes
Unidentified Warbler,Passeriformes
Bonaparte's Gull,Charadriiformes
Swamp Sparrow,Passeriformes
Marsh Wren,Passeriformes
Swainson's Thrush,Passeriformes
Cooper's Hawk,Accipitriformes
Rose-breasted Grosbeak,Passeriformes
Lincoln's Sparrow,Passeriformes
Gray-cheeked Thrush,Passeriformes
Hermit Thrush,Passeriformes
Palm Warbler,Passeriformes
Bay-breasted Warbler,Passeriformes
Nashville Warbler,Passeriformes
Yellow-rumped Warbler,Passeriformes
White-throated Sparrow,Passeriformes
Unidentified Woodpecker,Piciformes
Yellow-bellied Sapsucker,Piciformes
Tufted Titmouse,Passeriformes
Winter Wren,Passeriformes
Ruby-crowned Kinglet,Passeriformes
Hairy Woodpecker,Piciformes
Orange-crowned Warbler,Passeriformes
White-crowned Sparrow,Passeriformes
Red-shouldered Hawk,Accipitriformes
Tennessee Warbler,Passeriformes
Blackpoll Warbler,Passeriformes
Northern Shoveler,Anseriformes
Bald Eagle,Accipitriformes
Unidentified Falcon,Falconiformes
Golden-crowned Kinglet,Passeriformes
Brown Creeper,Passeriformes
Unidentified Wren,Passeriformes
Dark-eyed Junco,Passeriformes
Unidentified Kinglet,Passeriformes
Hooded Merganser,Anseriformes
Horned Grebe,Podicipediformes
Purple Finch,Passeriformes
Unidentified Buteo,Accipitriformes
Wood Duck,Anseriformes
Red-necked Grebe,Podicipediformes
Unidentified Duck,Anseriformes
Unidentified Crow,Passeriformes
Common Loon,Gaviiformes
Carolina Wren,Passeriformes
Fox Sparrow,Passeriformes
Common Goldeneye,Anseriformes
Unidentified Carpodacus Finch,Passeriformes
Peregrine Falcon,Falconiformes
Red-breasted Merganser,Anseriformes
Wilson's Snipe,Charadriiformes
Northern Pintail,Anseriformes
Great Black-backed Gull,Charadriiformes
American Tree Sparrow,Passeriformes
Merlin,Falconiformes
Pied-billed Grebe,Podicipediformes
Snow Goose,Anseriformes
Bufflehead,Anseriformes
American Black Duck,Anseriformes
Ruddy Duck,Anseriformes
American Coot,Gruiformes
Common Merganser,Anseriformes
Green-winged Teal,Anseriformes
Redhead,Anseriformes
Pine Siskin,Passeriformes
Greater Back Gull,Charadriiformes
American Crow,Passeriformes
Snow Bunting,Passeriformes
Rusty Blackbird,Passeriformes
American Woodcock,Charadriiformes
Eastern Bluebird,Passeriformes
Rock Pigeon,Columbiformes
Eastern Meadowlark,Passeriformes
Wood Thrush,Passeriformes
Savannah Sparrow,Passeriformes
Common Tern,Charadriiformes
Greater Scaup,Anseriformes
Forster's Tern,Charadriiformes
Lesser Scaup,Anseriformes
Blue-winged Teal,Anseriformes
Pine Warbler,Passeriformes
Golden-winged Warbler,Passeriformes
Blue-winged Warbler,Passeriformes
Northern Waterthrush,Passeriformes
Northern Harrier,Accipitriformes
Least Flycatcher,Passeriformes
Green Heron,Pelecaniformes
Black-throated Blue Warbler,Passeriformes
Veery,Passeriformes
Eastern Screech-Owl,Strigiformes
Black-billed Cuckoo,Cuculiformes
Alder Flycatcher,Passeriformes
Great Egret,Pelecaniformes
Acadian Flycatcher,Passeriformes
Scarlet Tanager,Passeriformes
Sora,Gruiformes
Ovenbird,Passeriformes
Northern Parula,Passeriformes
Cape May Warbler,Passeriformes
Red-headed Woodpecker,Piciformes
Black-throated Green Warbler,Passeriformes
Chestnut-sided Warbler,Passeriformes
Sharp-shinned Hawk,Accipitriformes
Blue-headed Vireo,Passeriformes
Grasshopper Sparrow,Passeriformes
Barred Owl,Strigiformes
Gadwall,Anseriformes
Eared Grebe,Podicipediformes
Red-breasted Nuthatch,Passeriformes
Long-tailed Duck,Anseriformes
Canvasback,Anseriformes
Wild Turkey,Phasianidae
Pileated Woodpecker,Piciformes
Fish Crow,Passeriformes
Solitary Sandpiper,Charadriiformes
Unidentified Accipiter,Accipitriformes
Unidentified Shorebird,Charadriiformes
Common Nighthawk,Accipitriformes
Mute Swan,Anseriformes
American Kestrel,Falconiformes
White-winged Scoter,Anseriformes
Tundra Swan,Anseriformes
Black Scoter,Anseriformes
Great Horned Owl,Strigiformes
Ring-necked Duck,Anseriformes
American Wigeon,Anseriformes
Dunlin,Charadriiformes
Unidentified Sandpiper,Charadriiformes
Unidentified Tern,Charadriiformes
Unidentified Accipiter Hawk,Accipitriformes
Vesper Sparrow,Passeriformes
Broad-winged Hawk,Accipitriformes
Connecticut Warbler,Passeriformes
Yellow-bellied Flycatcher,Passeriformes
Unidentified Thrush,Passeriformes
